name,text,time
1 Ледяная,стать обидно заметить мой карий глаз невесомый нежность ненавидеть слабый мой рука жара замерзать стучаться запереть звонить сеть занятый понимать кислород ждать ночь сам утро прозреть оставаться слепой просто сегодня ледяной навсегда изменить тот ранний мочь далёкий мочь дальше… кислород снова воровать видеть бездыханный снова целовать черно белые сон давать влюбляться начало такой казаться стучаться запереть звонить сеть занятый понимать кислород ждать ночь сам утро прозреть оставаться слепой источник teksty pesenok ru просто сегодня ледяной навсегда изменить тот ранний мочь далёкий просто сегодня ледяной навсегда изменить тот ранний мочь далёкий мочь далёкий мочь далёкий,197
2 ищи меня,провести линия длинный ощутить бессильный просить рука носить забываться анатомия клод дебюсси* наш ты взгляд один сторона мой мысль ты немного скованный влияние магнетический волна чувствовать думать унисон ранний невозможно просто отходить пока вести врядлить заменить ты сам свой сам свой пытаться разобрать тишина часть от огонь к лёд от лёд огонь небрежный сложный думать всё серьёзно стараться лезть вон кожа вон искать везде искать кто кто менять пусть отличать ночь от день равно везде искать искать везде искать кто кто менять пусть отличать ночь от день равно везде искать внутри ты знакомый ощутить невесомый долго ждать лето июль неохота возвращаться прежний колея вспоминать привычный аромат слово невпопад сказать смеяться также научить твой смех выручить нашептать вызвать печаль пустой звук станцевать буг вуги скука глюк прицелиться прямо базука источник teksty pesenok ru пытаться разобрать тишина часть от огонь к лёд от лёд огонь небрежный сложный думать всё серьёзно стараться лезть вон кожа вон искать везде искать кто кто менять пусть отличать ночь от день равно везде искать искать везде искать кто кто менять пусть отличать ночь от день равно везде искать искать искать искать искать искать,194
3 все решено,роль играть ядовитый разбитый убитый всё забытый решить слеза высохнуть давно путь новый мир счастие чувство снег замести боль впитать тепло согревать ночь твой рука мой плечо одиночество съедать сердце огонь весь любовь выпить дно бояться вино тело мелкий дрожь один слово уничтожить потерять себя контроль узнать сердце пароль лето дурманить невозможно променять удалять отовсюду всё равно ночь сниться быть роль играть ядовитый разбитый убитый всё забытый решить слеза высохнуть давно путь новый мир счастие простить говорить слово любовь повторить непринятый звонок искать другой давно ревновать помнить твой фраза огонёк душа мой погаснуть омут потонуть жизнь идти к дно огромный телешоу популярный такой чужой новый увлечение сбиться течение мир другой смотреть всё благодарить роль играть ядовитый разбитый убитый всё забытый решить слеза высохнуть давно путь новый мир счастие роль играть ядовитый разбитый убитый всё забытый решить слеза высохнуть давно путь новый мир счастие,217
4 не верю,верить взрывать задевать сердце вновь улетать прощаться английски слово устать говорить вечно мой голова истерика друг тонуть ты тон против разжечь любовь война давать далёкий убивать убивать воскрешать повезти повезти плевать любить весь назло убежать далеко наш мечта граница вместе похожий самоубийца источник teksty pesenok ru каждый день ненавидеть любовь сильный видеть сердце биться быстрый давать далёкий убивать убивать воскрешать повезти повезти плевать любить весь назло,216
5 одержима,смочь приручить быть ты ходить смочь разбудить сразу усыпить смочь приручить быть ты ходить смочь разбудить сразу усыпить центр центр бег другой слышать необходимый бег улица светофор зависимый – приговор красный свет ты спешить бешеный страсть глушить обернуться глядеть ты вслед ждать дать зелёный свет смочь приручить быть ты ходить смочь разбудить сразу усыпить смочь приручить быть ты ходить смочь разбудить сразу усыпить ждать звонок позвонить ложь вчера наговорить просить тепло обещать нужно ты никто человек показать свой чувство зависимость лечиться изучить знать наизусть красный свет ты нестись смочь приручить быть ты ходить смочь разбудить сразу усыпить смочь приручить быть ты ходить смочь разбудить сразу усыпить смочь приручить быть ты ходить смочь разбудить сразу усыпить смочь приручить быть ты ходить смочь разбудить сразу усыпить смочь приручить быть ты ходить смочь разбудить сразу усыпить,182
6 моя душа,сей пора вспоминать тот день твой слово мочь растворить тот извинить смочь разлюбить придумать кино сам верить падать подниматься нелегко голос мой хрипнуть наверно оттого устать петь один стать сильный мир равно продолжать жить любя стать смелый мой рука дрожать ты повторять душа стараться идеал твой мечтать построить замок старый руина дышать задыхаться лишь ты один источник teksty pesenok ru тяжело нелюбимый чувство ноль образ перед я смыть громкий ливень помнить дрожать называть имя стать сильный мир равно продолжать жить любя стать смелый мой рука дрожать ты повторять душа,232
7 море,обман обман тянуть вниз верить притворяться наивный доверчивый истерика сыграть роль хватить залечивать свой ошибка безупречный сразу понять мой близко нога гололёд сердце бить ток стрелять жестоко бояться навести курок просыпаться холод время терпеть головной боль ночь утро бродить квартира поиск ответ вопрос который задать кричать оревуар возвращаться назад паранойя слышать голос душа мой непонятно зима весна думать этот встреча наш самый яркий провал волна ветер накрыть окунаться море голова бояться грести бояться занести выбрать потоп полёт волна ветер накрыть окунаться море голова бояться грести бояться занести выбрать потоп полёт обман обман обман обман обман обман обман обман снова ты сломать идти хотеться ты приковать цепь любовь сам ощущать откуда род ад рай ты разный равно остаться чужой который месяц слеза душить понимать смочь один просыпаться холод время терпеть головной боль ночь утро бродить квартира поиск ответ вопрос который задать кричать оревуар возвращаться назад паранойя слышать голос душа мой непонятно зима весна думать этот встреча наш самый яркий провал,217
8 стоп любовь,убить честно мало место развернуть конфликт душить больно хрупкий ты собака будка короткий гудок трубка идти пресный местный дискотека здешний теряться толпа найти устать странный час 5 утро счастливый мама простой истина жить хотеться одиночество независимость легко дышать всё смочь сам свобода стоп любовь прекрасно понять просто стоп боль помнить стоп огонь свободный смело жать плей мой меню сегодня фрукт бояться позвонить лёгкий флирт с*ка завидовать подруга я хороший мачо клуб простой истина жить хотеться одиночество независимость легко дышать всё смочь сам свобода стоп любовь прекрасно понять просто стоп боль источник teksty pesenok ru помнить стоп огонь свободный смело жать плей стоп любовь стоп любовь прекрасно понять просто стоп боль помнить стоп огонь свободный смело жать плей стоп любовь прекрасно понять просто стоп боль помнить стоп огонь свободный смело жать плей,199
9 Offline,offline твой статус пусто монитор ждать устать пусть действительно сеть часы полночь пять дело обновлять страница надежда сообщение твой появиться нечего кроме спам влюбиться мама тоска чёрный обама просто написать привет дело кликнуть рассказать друг нажать лайк хотеть весь мир знать ты виртуальный мир реальный любовь хотеть ты контакт давать немного ещё трафик потратить утро будить болтать о весь подрить немыслимо слово словно выстрел земля уходить нога немыслимо сдаться слишком быстро равно offline знать искать твитер тишина снова молчать твой скайп доступный оба смысл похоже пролетать свист зависать vista ночной клуб смотреть твой отжиг youtube источник teksty pesenok ru понять далёкий видимо зря добавить друг перебой твердить помешаться видеть аватар шанс прежний личка писать поделать чувство ум бушевать век цифровой иновация романтик стоить сдаваться верить мы беспроводный сеть просить ответить немыслимо слово словно выстрел земля уходить нога немыслимо сдаться слишком быстро равно,210
10 маме,улыбнуться остаться чудо ребёнок год читать сказка петь фальшиво звонко обещать ты стать богатый отвезти мальдивы папа говорить смочь мочь помочь утонуть плакать заплатить первый свой гонорар потратить источник text pesni com улыбнуться родный скорый зима согреть сказать правда повод новый песня хороший отрава мочь переживать знать быть жить быть уезжать знать далёкий мой тепло найти пока дом ждать дом ждать знать любить мама доверять ты мочь предаться слеза знать мой душа тайна отдать отдавать неважно уехать остаться рядом родной твой взгляд знать поддержать наш мелкий ссора ерунда улыбнуться родный скорый зима согреть сказать правда повод новый песня хороший отрава мочь переживать знать быть жить быть уезжать знать далёкий мой тепло найти пока дом ждать дом ждать,198
